user_id,order_date,product_category,revenue
U_00002,2025-10-24,Electronics,63.29
U_00003,2025-07-11,Fashion,60.48
U_00003,2025-07-12,Fashion,44.21
U_00003,2025-08-11,Fashion,95.26
U_00003,2025-08-25,Fashion,117.92
U_00003,2025-09-30,Fashion,38.91
U_00003,2025-10-17,Fashion,121.03
U_00003,2025-10-31,Beauty,131.11
U_00003,2025-11-03,Electronics,99.98
U_00003,2025-11-14,Fashion,335.94
U_00003,2025-11-29,Fashion,79.5
U_00003,2025-12-24,Beauty,70.48
U_00004,2025-07-18,Fashion,39.34
U_00004,2025-11-07,Fashion,28.24
U_00004,2025-12-14,Fashion,79.23
U_00004,2025-12-24,Fashion,89.03
U_00007,2025-09-09,Grocery,35.28
U_00008,2025-10-17,Fashion,42.65
U_00008,2025-12-25,Home,44.35
U_00009,2025-07-20,Home,75.26
U_00009,2025-08-22,Home,53.36
U_00009,2025-09-11,Home,57.43
U_00009,2025-10-23,Home,22.12
U_00009,2025-11-04,Electronics,150.47
U_00010,2025-08-27,Toys,149.97
U_00010,2025-08-29,Sports,108.41
U_00010,2025-09-27,Books,41.65
U_00011,2025-09-01,Beauty,103.45
U_00011,2025-09-30,Beauty,24.7
U_00011,2025-10-05,Books,53.75
U_00011,2025-10-08,Beauty,88.9
U_00013,2025-08-25,Toys,14.97
U_00016,2025-08-12,Beauty,67.1
U_00016,2025-08-25,Beauty,43.7
U_00016,2025-09-07,Beauty,91.62
U_00016,2025-09-13,Beauty,150.45
U_00016,2025-09-28,Beauty,344.83
U_00016,2025-10-20,Beauty,181.25
U_00016,2025-11-26,Beauty,23.58
U_00017,2025-10-23,Sports,116.47
U_00019,2025-09-03,Electronics,79.19
U_00021,2025-07-25,Grocery,18.35
U_00021,2025-10-11,Toys,126.47
U_00022,2025-07-04,Grocery,89.28
U_00022,2025-07-11,Fashion,104.13
U_00022,2025-08-02,Fashion,126.31
U_00022,2025-08-08,Toys,106.04
U_00022,2025-08-23,Grocery,106.32
U_00022,2025-09-06,Fashion,211.16
U_00022,2025-09-08,Grocery,91.52
U_00023,2025-12-28,Home,34.59
U_00025,2025-07-07,Toys,31.33
U_00025,2025-07-08,Toys,18.5
U_00027,2025-09-12,Fashion,40.25
U_00028,2025-07-31,Toys,107.32
U_00028,2025-08-05,Toys,29.68
U_00028,2025-08-23,Home,30.25
U_00028,2025-09-19,Toys,16.48
U_00028,2025-09-26,Toys,119.3
U_00028,2025-10-26,Home,94.01
U_00028,2025-12-20,Sports,17.44
U_00029,2025-07-24,Fashion,20.24
U_00031,2025-07-13,Beauty,46.69
U_00031,2025-07-18,Beauty,65.04
U_00031,2025-07-23,Beauty,26.33
U_00031,2025-08-29,Electronics,23.22
U_00031,2025-09-22,Beauty,23.7
U_00031,2025-10-01,Grocery,45.34
U_00031,2025-12-21,Home,19.34
U_00032,2025-07-26,Toys,14.79
U_00032,2025-09-29,Toys,32.13
U_00034,2025-07-21,Sports,36.5
U_00035,2025-08-02,Sports,83.2
U_00035,2025-09-09,Sports,73.96
U_00035,2025-09-22,Beauty,58.66
U_00035,2025-10-03,Books,124.1
U_00035,2025-11-19,Sports,21.42
U_00035,2025-12-13,Sports,103.48
U_00035,2025-12-26,Books,28.06
U_00036,2025-08-08,Grocery,166.09
U_00036,2025-09-03,Fashion,65.78
U_00036,2025-09-24,Grocery,60.64
U_00036,2025-11-01,Grocery,242.6
U_00036,2025-11-17,Fashion,107.83
U_00036,2025-11-25,Grocery,116.25
U_00037,2025-07-04,Beauty,47.21
U_00037,2025-07-24,Fashion,143.28
U_00037,2025-07-25,Fashion,62.04
U_00037,2025-08-24,Fashion,50.56
U_00037,2025-08-31,Fashion,39.59
U_00037,2025-09-16,Sports,37.21
U_00037,2025-09-27,Home,53.21
U_00037,2025-11-09,Fashion,29.58
U_00037,2025-11-30,Fashion,10.38
U_00037,2025-12-22,Fashion,35.41
U_00038,2025-09-26,Beauty,18.78
U_00038,2025-10-23,Beauty,20.09
U_00038,2025-10-30,Beauty,13.26
U_00038,2025-11-01,Beauty,28.98
U_00039,2025-08-01,Toys,56.73
U_00039,2025-09-23,Toys,72.4
U_00040,2025-08-04,Sports,5.87
U_00040,2025-08-24,Sports,30.58
U_00040,2025-09-27,Sports,6.67
U_00040,2025-12-03,Sports,47.63
U_00041,2025-07-29,Grocery,98.93
U_00041,2025-08-02,Grocery,38.23
U_00041,2025-08-26,Fashion,61.96
U_00042,2025-07-10,Books,72.42
U_00042,2025-08-09,Beauty,38.26
U_00042,2025-09-13,Fashion,116.3
U_00042,2025-10-06,Home,53.06
U_00042,2025-11-28,Books,31.01
U_00042,2025-12-04,Grocery,150.12
U_00043,2025-08-29,Grocery,18.57
U_00043,2025-09-07,Electronics,14.9
U_00043,2025-11-26,Grocery,17.62
U_00043,2025-12-26,Grocery,49.78
U_00044,2025-07-30,Grocery,65.73
U_00044,2025-08-28,Home,36.72
U_00044,2025-11-30,Grocery,93.32
U_00045,2025-07-29,Grocery,81.12
U_00045,2025-07-30,Grocery,160.22
U_00045,2025-08-01,Grocery,134.23
U_00045,2025-08-02,Grocery,107.34
U_00045,2025-08-28,Grocery,199.65
U_00045,2025-09-04,Grocery,53.11
U_00045,2025-09-06,Grocery,40.6
U_00045,2025-09-16,Grocery,147.27
U_00045,2025-10-03,Grocery,58.23
U_00045,2025-10-20,Grocery,32.81
U_00045,2025-10-21,Grocery,73.66
U_00045,2025-10-23,Grocery,95.31
U_00045,2025-11-04,Grocery,142.94
U_00045,2025-11-07,Home,122.56
U_00045,2025-11-11,Grocery,48.89
U_00045,2025-11-26,Grocery,288.36
U_00045,2025-12-11,Grocery,69.7
U_00045,2025-12-18,Beauty,201.35
U_00045,2025-12-30,Fashion,52.34
U_00046,2025-09-27,Fashion,28.99
U_00046,2025-12-24,Fashion,26.71
U_00047,2025-07-27,Home,26.81
U_00047,2025-09-11,Home,24.38
