user_id,plan_type,region,account_age_days,recency_days,frequency_7d,frequency_30d,monetary_30d,monetary_total,avg_session_duration,recent_avg_duration,avg_pages_viewed,login_trend_slope,n_orders_total,avg_order_value,top_category,churn_label,ltv_12m,plan_type_enc,region_enc,top_category_enc,churn_score,predicted_ltv_12m,recommended_categories,ltv_percentile,system_action,action_message
U_00000,Free,West,507,24,0,1,0.0,0.0,2.0700000000000003,0.0,4.3,-0.0714285714285713,0,0.0,,1,0.0,1,3,8,0.8847427,0.0012205598,"Grocery, Electronics, Fashion",0.206,LOW_COST_NURTURE,"Send an automated re-engagement email - at risk but low value, don't over-invest."
U_00001,Free,North,692,42,0,0,0.0,0.0,2.867272727272727,0.0,6.0,0.0714285714285713,0,0.0,,1,0.0,1,1,8,0.86403656,3.328969e-06,"Grocery, Electronics, Fashion",0.10933333333333334,LOW_COST_NURTURE,"Send an automated re-engagement email - at risk but low value, don't over-invest."
U_00002,Pro,South,159,44,0,0,0.0,63.29,1.7066666666666668,0.0,4.0,-0.1000000000000001,1,63.29,Electronics,1,145.2883647798742,2,2,2,0.7978379,142.46036,"Grocery, Electronics, Fashion",0.6273333333333333,RETENTION_OFFER,"Send a 20-30% discount coupon before they leave - high value, high churn risk."
U_00003,Enterprise,West,775,2,1,4,515.4200000000001,1124.34,9.1904,10.93,21.32,0.021671826625387,10,112.434,Fashion,0,529.527870967742,0,3,3,0.0029539452,526.14923,"Fashion, Beauty, Electronics",0.8161666666666667,UPSELL,Recommend Premium tier / bundle - engaged and high value.
U_00004,Pro,South,281,20,0,2,28.24,67.58,8.190384615384614,0.0,19.115384615384617,-0.0071428571428571,2,33.79,Fashion,0,87.78185053380783,2,2,3,0.17433085,89.16336,"Fashion, Electronics, Home",0.5526666666666666,STANDARD_NEWSLETTER,No urgent action - continue standard lifecycle messaging.
U_00005,Pro,North,463,83,0,0,0.0,0.0,1.7166666666666668,0.0,3.555555555555556,-0.0357142857142856,0,0.0,,1,0.0,2,1,8,0.86434656,-0.0001601543,"Grocery, Electronics, Fashion",0.09133333333333334,LOW_COST_NURTURE,"Send an automated re-engagement email - at risk but low value, don't over-invest."
U_00006,Free,North,791,67,0,0,0.0,0.0,5.3025,0.0,12.25,-2.0083673326242144e-16,0,0.0,,1,0.0,1,1,8,0.8084751,-0.0004243507,"Grocery, Electronics, Fashion",0.06866666666666667,LOW_COST_NURTURE,"Send an automated re-engagement email - at risk but low value, don't over-invest."
U_00007,Free,South,312,47,0,0,0.0,35.28,4.137777777777778,0.0,9.11111111111111,0.1428571428571429,1,35.28,Grocery,1,41.27307692307692,1,2,4,0.6939914,39.886395,"Grocery, Electronics, Fashion",0.43516666666666665,LOW_COST_NURTURE,"Send an automated re-engagement email - at risk but low value, don't over-invest."
U_00008,Pro,East,813,20,0,1,0.0,42.65,8.557826086956522,0.0,20.73913043478261,0.0720588235294118,1,42.65,Fashion,0,19.14790897908979,2,0,3,0.2846402,19.569677,"Fashion, Electronics, Home",0.3495,STANDARD_NEWSLETTER,No urgent action - continue standard lifecycle messaging.
U_00009,Pro,North,390,1,2,7,150.47,358.64,7.496666666666666,8.2475,15.74074074074074,-0.1120879120879122,5,71.728,Home,0,335.6502564102564,2,1,5,0.007658833,344.73798,"Grocery, Books, Toys",0.7603333333333333,UPSELL,Recommend Premium tier / bundle - engaged and high value.
U_00010,Pro,South,778,82,0,0,0.0,300.03,5.048,0.0,11.6,-0.1428571428571427,3,100.01,Books,1,140.75957583547557,2,2,1,0.8715144,135.85324,"Sports, Toys, Home",0.6201666666666666,RETENTION_OFFER,"Send a 20-30% discount coupon before they leave - high value, high churn risk."
U_00011,Pro,East,756,16,0,2,0.0,270.8,6.221999999999998,0.0,13.466666666666669,0.0664335664335664,4,67.7,Beauty,0,130.74338624338623,2,0,0,0.31752893,134.637,"Beauty, Books, Electronics",0.6188333333333333,STANDARD_NEWSLETTER,No urgent action - continue standard lifecycle messaging.
